comment,sexism,racism,violence,appearance,ability,non-offensive,is_labeled
"Well done ladies, I'm so proud",0,0,0,0,0,1,True
barcelona champions 2025,0,0,0,0,0,1,True
Barca tetep beda level sih,0,0,0,0,0,0,False
Lyon cant catch a break 😂,0,0,0,0,0,1,True
Alessia Russo one lf my Favorite player In final Against my Favorite club 💙❤ FC Barcelona 🤝,0,0,0,0,0,1,True
"Mariona against his Former Club in Final Fc Barcelona 
💙❤🤝❤🤍",0,0,0,0,0,1,True
BARCELONA Favorite Club in Final against The club i really Like Arsenal,0,0,0,0,0,1,True
Alessia Russo one lf my Favorite player In final Against my Favorite club 💙❤ FC Barcelona 🤝,0,0,0,0,0,1,True
"Mariona against his Former Club in Final Fc Barcelona 
💙❤🤝❤🤍",0,0,0,0,0,1,True
BARCELONA Favorite Club in Final against The club i really Like Arsenal,0,0,0,0,0,1,True
Alessia Russo one lf my Favorite player In final Against my Favorite club 💙❤ FC Barcelona 🤝,0,0,0,0,0,1,True
"Mariona against his Former Club in Final Fc Barcelona 
💙❤🤝❤🤍",0,0,0,0,0,1,True
BARCELONA Favorite Club in Final against The club i really Like Arsenal,0,0,0,0,0,1,True
"Well done, Arsenal. What a match.   Russo wants to create something beautiful.",0,0,0,0,0,1,True
"I'm not the only Arsenal supporter who would be thrilled to see Kim Little lift the trophy.  This team has a lot of talented players, and it's amazing to watch them perform for one another.  Do it for Kim.",0,0,0,0,0,1,True
"Arsenal played well and deserved to win, but omfg did Lyon play badly.  I've never seen such a poor, discombobulated, uncomposed & strange performance from this Lyon team... even their last 5-1 loss to Arsenal wasn't as bad.  Did they all go out partying Saturday night?",0,0,0,0,0,1,True
Renee you have rocked my world! 😅😍,0,0,0,0,0,1,True
สุดยอด,0,0,0,0,0,0,False
марья ивановна удары райса пересматривала,0,0,0,0,0,0,False
Congratulations Ladies what comeback what a win COYG,0,0,0,0,0,1,True
This is ARSENAL ❤❤❤,0,0,0,0,0,1,True
Imagine if Arsenal manage to pull off the CL double? One can dream :),0,0,0,0,0,1,True
"What a match, well done Arsenal.  Russo's goal a thing of beauty.",0,0,0,0,0,1,True
COYG❤️🤍,0,0,0,0,0,1,True
"Uwoooooow, Arsenal Women doing so great!!!!!",0,0,0,0,0,1,True
"Semifinal femina Masuk final, tinggal nunggu arsenal laki laki masuk final,,",0,0,0,0,0,0,False
"Congrats lads, Alot of Education🎓 input. in your Game, text book passes,..on the other side  Li women were just running towards different directions of the wind! COYG💪.. we don't negotiate, we act😎",0,0,0,0,0,1,True
Amazing,0,0,0,0,0,1,True
"UEFA Youth league: Trobzonspor vs Barcelona 
UEFA Womens Champions league: Asenal vs Barcelona
UEFA 
Champions league: Arsenal vs Barcelona???",0,0,0,0,0,1,True
watch out PSG. U in danger..🔥🔥🔥 this season is ARSENAL SEASON,0,0,0,0,0,1,True
สุดยอด คัมแบ็ค,0,0,0,0,0,0,False
McCabe stopped that shot in front of the goal with her head without fear; it looked like a cyborg was defending our goal post. Hahaha... Crazy.,0,0,0,0,0,1,True
¡Felicidades Arsenal!!! ¡Nos vemos en Lisboa el 24 de mayo!!!,0,0,0,0,0,1,True
Coyg!!!!!!!!,0,0,0,0,0,1,True
COYG! <3,0,0,0,0,0,1,True
Go go my girls ❤🎉🎉🎉🎉🎉🎉,0,0,0,0,0,1,True
"Well done, Arsenal. What a match.   Russo wants to create something beautiful.",0,0,0,0,0,1,True
"I'm not the only Arsenal supporter who would be thrilled to see Kim Little lift the trophy.  This team has a lot of talented players, and it's amazing to watch them perform for one another.  Do it for Kim.",0,0,0,0,0,1,True
"What a disaster for Lyon. Gifted Arsenal the first goal, the fourth goal, and the third goal wasn't much better.",0,0,0,0,0,1,True
IT'S ALL WRITTEN ALL OVER THE STARS ❤❤❤❤❤,0,0,0,0,0,1,True
"Both Barca men and  women are on a different level.  I wish the Arsenal men would reach the finals as well against Barca for a rematch, but they have a tough one ahead of them against PSG.
Either way, I still believe if Barca men reach the finals, they will lift the cup, but, it is football anything is possible.",0,0,0,0,0,1,True
bravo arsenal pour la remontada,0,0,0,0,0,1,True
Unbelievable,0,0,0,0,0,1,True
"Video been up for 40 mins and no pathetic  comments from Patrick, Ken, Julie or whatever he’s signed in as today. Something’s wrong.",0,0,0,0,0,1,True
Lets all laugh at Lyon 😂😂😂,0,0,0,0,0,1,True
"Pffff n importe quoi les lyonnaises,aucune envie,des passés ratées à la pelle,incroyable…et Wendie c est comme Lacazette,c est triste mais faut savoir dire stop",0,0,0,0,0,1,True
4:01 respect this girls ❤,0,0,0,0,0,1,True
Women’s sports are sooooo bad.,0,0,0,0,0,1,True
"С хиджабом смешно.
Почему они это носят ? Ведь это же не её выбор 🤷.
Почему люди сами не выбирают , что им носить ?.
Коран ей говорит , что носить ? А Коран ей разрешает в футбол играть ? Или это другое?",1,1,0,1,0,0,True
"0:29 ci sono rimasto male,lo ammetto.",0,0,0,0,0,0,False
"Women are vicious, and their referees are morons.",1,0,1,0,0,0,True
After watching this I immediately go watch men football because I can't believe what women are doing in the field.,1,0,0,0,1,0,True
やはり女にサッカーは早すぎる,0,0,0,0,0,0,False
so funny when girls playing ball,1,0,0,0,1,0,True
Cooking’s!!!,1,0,0,0,1,0,True
"Craziest moment being the first clip in which a man has actively chosen to go and watch women play football. Before you come at me asking me why I’d say this sexist and misogynistic thing, clip number 2 will provide the answer",1,0,1,0,1,0,True
So cute 😂,0,0,0,0,0,0,False
"я в пинципе  не смотрю  футбол , но уверен , что и в мужском  соперничестве  бывают такие же нелепые моменты /казусы",0,0,0,0,0,1,True
